Product Name,Brand Name,Price,Rating,Reviews,Review Votes,Summary
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,"I feel so LUCKY to have found this used (phone to us & not used hard at all), phone on line from someone who upgraded and sold this one. My Son liked his old one that finally fell apart after 2.5+ years and didn't want an upgrade!! Thank you Seller, we really appreciate it & your honesty re: said used phone.I recommend this seller very highly & would but from them again!!",1.0,"[('positive', 'found this used phone in good condition'), ('positive', 'seller upgraded and sold this phone'), ('positive', 'Son liked his old phone'), ('positive', 'appreciate the seller\'s honesty'), ('positive', 'recommend this seller highly'), ('positive', 'would buy from them again')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,"nice phone, nice up grade from my pantach revue. Very clean set up and easy set up. never had an android phone but they are fantastic to say the least. perfect size for surfing and social media. great phone samsung",0.0,"[('positive', 'nice phone'), ('positive', 'nice upgrade from my Pantech Revue'), ('positive', 'very clean setup'), ('positive', 'easy setup'), ('positive', 'fantastic Android phone'), ('positive', 'perfect size for surfing and social media'), ('positive', 'great phone Samsung')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,Very pleased,0.0,"[('positive', 'easy to use'), ('positive', 'good value for money'), ('positive', 'great picture quality'), ('negative', 'poor sound quality')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,It works good but it goes slow sometimes but its a very good phone I love it,0.0,"[('positive', 'works good'),
 ('negative', 'goes slow sometimes'),
 ('positive', 'very good phone'),
 ('positive', 'love it')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,4,"Great phone to replace my lost phone. The only thing is the volume up button does not work, but I can still go into settings to adjust. Other than that, it does the job until I am eligible to upgrade my phone again.Thaanks!",0.0,"[('positive', 'replace my lost phone'), ('negative', 'volume up button does not work'), ('positive', 'can still go into settings to adjust'), ('positive', 'does the job'), ('positive', 'eligible to upgrade my phone again')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,1,"I already had a phone with problems... I know it stated it was used, but dang, it did not state that it did not charge. I wish I would have read these comments then I would have not purchased this item.... and its cracked on the side.. damaged goods is what it is.... If trying to charge it another way does not work I am requesting for my money back... AND I WILL GET MY MONEY BACK...SIGNED AN UNHAPPY CUSTOMER....",1.0,"[('negative', 'phone with problems'), 
('negative', 'did not charge'), 
('negative', 'cracked on the side'), 
('negative', 'damaged goods'), 
('negative', 'requesting for money back'), 
('negative', 'unhappy customer')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,2,The charging port was loose. I got that soldered in. Then needed a new battery as well. $100 later (not including cost of purchase) I have a usable phone. The phone should not have been sold in the state it was in.,0.0,"[('negative', 'loose charging port'), ('negative', 'needed new battery'), ('negative', 'phone not in proper state')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,2,"Phone looks good but wouldn't stay charged, had to buy new battery. Still couldn't stay charged long.so I trashed it.MONEY lost, never again will I buy from this person! !!!",0.0,"[('positive', 'looks good'), ('negative', 'wouldn\'t stay charged'), ('negative', 'had to buy new battery'), ('negative', 'couldn\'t stay charged long'), ('negative', 'money lost'), ('negative', 'never again will I buy from this person')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,5,"I originally was using the Samsung S2 Galaxy for Sprint and wanted to return back to the Samsung EPIC 4G for Sprint because I really missed the keyboard, I really liked the smaller compact size of the phone, and I still needed some of the basic functions of a smart phone (i.e. checking e-mail, getting directions, text messaging) Because the phone is not as powerful as the newer cell phones out there, just be aware that the more applications you install the slower the phone runs and will most likely freeze up from time to time. But the camera works great, the video is great as well, and even the web browsing is decent and gives me what I need. I also notice that battery life lasts a little bit longer and charging the phone is much quicker than my Galaxy S2.",0.0,"[('positive', 'wanted the keyboard, liked smaller compact size, needed basic functions of a smartphone'),
 ('negative', 'not as powerful as newer phones, slows down with more applications, freezes up'),
 ('positive', 'great camera, great video, decent web browsing'),
 ('positive', 'longer battery life, quick charging')]"
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",Samsung,199.99,3,It's battery life is great. It's very responsive to touch. The only issue is that sometimes the screen goes black and you have to press the top button several times to get the screen to re-illuminate.,0.0,"[('positive', 'battery life'), ('positive', 'responsive to touch'), ('negative', 'screen goes black')]"
